Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,0,1,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128
2,1,2,1,15,2,120,1329227995784915872903807060280344578,121.0,2,128
3,1,3,1,15,2,120,1329227995784915872903807060280344579,121.58496250072116,2,128
4,1,4,1,15,2,120,1329227995784915872903807060280344580,122.0,2,128
5,1,5,1,15,2,120,1329227995784915872903807060280344581,122.32192809488737,2,128
10,2,10,2,14,2,112,5192296858534827628530496329220196,118.64385618977472,2,128
20,3,20,3,13,2,104,20282409603651670423947251294016,116.96578428466209,2,128
25,3,25,3,13,2,104,20282409603651670423947251301641,117.93156856932417,2,128
30,6,30,6,10,2,80,1208925819614629903706176,109.44134357365111,2,128
50,7,50,7,9,2,72,4722366483650895213696,111.50699332842308,2,128
100,10,100,10,6,2,48,100000281474976710656,114.43856189774725,2,128
