Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,1,1,1,15,2,120,1329227995784915872903807060280344577,120.0,2,128
2,3,2,3,13,2,104,20282409603651670423947251286024,107.0,2,128
3,4,3,4,12,2,96,79228162514264337593543950417,102.33985000288462,2,128
4,4,4,4,12,2,96,79228162514264337593543950592,104.0,2,128
5,4,5,4,12,2,96,79228162514264337593543950961,105.28771237954945,2,128
10,5,10,5,11,2,88,309485009821345068724881056,104.60964047443682,2,128
20,5,20,5,11,2,88,309485009821345068727981056,109.60964047443682,2,128
25,6,25,6,10,2,80,1208925819614629418846801,107.86313713864834,2,128
30,8,30,8,8,2,64,18446744729809551616,103.25512476486816,2,128
50,9,50,9,7,2,56,74010719037927936,106.79470570797253,2,128
100,14,100,14,2,2,16,10000000000000000000000065536,109.01398665684614,2,128
