Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,192,1.354867804883973,42,1
1,126,1.5614108178695902,126,2
2,21,1.3763701179181522,21,1
3,22,1.5727967747688607,15,1
4,40,1.5908532581157206,40,2
5,174,1.5156448128204438,174,2
6,210,1.5643515603638598,5,1
7,166,1.5084083025113362,166,2
8,171,1.507987636010689,6,1
9,247,1.5748292077402255,247,3
10,21,1.555621595175672,21,2
11,136,1.5942696048442064,98,2
12,9,1.7957611285519632,9,4
13,207,1.9681442086023946,207,4
14,79,1.9788264385872045,79,5
15,60,2.0304386417930993,60,3
