Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,135,27.160061783640735,23,1
1,126,29.91897512177225,126,2
2,10,27.68931882992186,21,1
3,138,27.12167357059366,16,1
4,40,32.2960874410399,1,1
5,174,30.070198388587347,47,1
6,210,29.64307028526201,5,1
7,166,28.092880562414486,27,1
8,171,28.567216416659193,30,1
9,247,29.819583866021947,7,1
10,21,30.87547630816516,21,3
11,136,29.13253931368293,101,2
12,9,32.82330192908868,9,3
13,207,38.18142030509684,207,4
14,79,36.454429603142195,79,4
15,60,37.050125215268665,60,3
