Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,7,1,7,9,2,72,4722366482869645213697,72.0,2,128
2,8,2,8,8,2,64,18446744073709551872,72.0,2,128
3,9,3,9,7,2,56,72057594037947619,70.26466250649041,2,128
4,9,4,9,7,2,56,72057594038190080,74.0,2,128
5,9,5,9,7,2,56,72057594039881061,76.89735285398626,2,128
10,13,10,13,3,2,24,10000016777216,67.18506523353571,2,128
20,13,20,13,3,2,24,81920000016777216,80.18506523353571,2,128
25,13,25,13,3,2,24,1490116119401542841,84.37013046707142,2,128
30,13,30,13,3,2,24,15943230000016777216,87.78957774291075,2,128
50,13,50,13,3,2,24,12207031250000016777216,97.37013046707142,2,128
100,14,100,14,2,2,16,10000000000000000000000065536,109.01398665684614,2,128
