Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent),Source,Nm,Total Complexity 
1,0,1,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
2,1,2,1,15,2,120,1329227995784915872903807060280344578,121.0,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
3,1,3,1,15,2,120,1329227995784915872903807060280344579,121.58496250072116,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
4,1,4,1,15,2,120,1329227995784915872903807060280344580,122.0,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
5,1,5,1,15,2,120,1329227995784915872903807060280344581,122.32192809488735,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
10,2,10,2,14,2,112,5192296858534827628530496329220196,118.64385618977472,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
20,3,20,3,13,2,104,20282409603651670423947251294016,116.96578428466208,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
25,3,25,3,13,2,104,20282409603651670423947251301641,117.93156856932416,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
30,6,30,6,10,2,80,1208925819614629903706176,109.44134357365112,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
50,7,50,7,9,2,72,4722366483650895213696,111.50699332842308,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
100,10,100,10,6,2,48,100000281474976710656,114.43856189774723,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_frequent.csv,100,
1,1,1,1,15,2,120,1329227995784915872903807060280344577,120.0,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
2,3,2,3,13,2,104,20282409603651670423947251286024,107.0,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
3,4,3,4,12,2,96,79228162514264337593543950417,102.33985000288462,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
4,4,4,4,12,2,96,79228162514264337593543950592,104.0,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
5,4,5,4,12,2,96,79228162514264337593543950961,105.28771237954945,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
10,5,10,5,11,2,88,309485009821345068724881056,104.60964047443682,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
20,5,20,5,11,2,88,309485009821345068727981056,109.60964047443682,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
25,6,25,6,10,2,80,1208925819614629418846801,107.86313713864834,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
30,8,30,8,8,2,64,18446744729809551616,103.25512476486816,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
50,9,50,9,7,2,56,74010719037927936,106.79470570797253,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
100,14,100,14,2,2,16,10000000000000000000000065536,109.01398665684614,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,
1,0,1,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
2,0,2,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
3,0,3,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
4,0,4,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
5,0,5,0,16,2,128,340282366920938463463374607431768211457,128.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
10,1,10,1,15,2,120,1329227995784915872903807060280344586,123.32192809488735,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
20,2,20,2,14,2,112,5192296858534827628530496329220496,120.64385618977472,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
25,2,25,2,14,2,112,5192296858534827628530496329220721,121.28771237954945,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
30,5,30,5,11,2,88,309485009821345068749081056,112.5344529780426,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
50,6,50,6,10,2,80,1208925819614644799706176,113.86313713864834,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
