Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent),Source,Nm,File Name,Directory Name,Path Summary
100,16,100,16,0,2,0,0.0,106.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
30,13,30,13,3,2,24,0.0,87.78957774291075,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesInput-Byte-Corr-Nm300-Weight
50,13,50,13,3,2,24,0.0,97.37013046707142,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesInput-Byte-Corr-Nm300-Weight
100,15,100,15,1,2,8,0.0,107.65784284662088,2,128,attack_SubBytes/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesInput-Byte-Corr-Nm300-Weight
1,16,1,16,0,2,0,0.0,0.0,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
2,16,2,16,0,2,0,0.0,16.0,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
3,16,3,16,0,2,0,0.0,25.359400011538497,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
4,16,4,16,0,2,0,0.0,32.0,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
5,16,5,16,0,2,0,0.0,37.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
10,16,10,16,0,2,0,0.0,53.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
20,16,20,16,0,2,0,0.0,69.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
25,16,25,16,0,2,0,0.0,74.30169903639559,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
30,16,30,16,0,2,0,0.0,78.5102495297363,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
50,16,50,16,0,2,0,0.0,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Byte-Corr-Nm300-Weight
50,16,50,16,0,2,0,0.0,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,statistical_results.csv,1000,SubBytesOutput-Byte-Corr-Nm1000-Weight
1,4,1,4,12,2,96,0.0,96.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesInput-Byte-Corr-Nm400-Weight
2,5,2,5,11,2,88,0.0,93.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesInput-Byte-Corr-Nm400-Weight
3,9,3,9,7,2,56,0.0,70.26466250649041,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesInput-Byte-Corr-Nm400-Weight
4,10,4,10,6,2,48,0.0,68.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesInput-Byte-Corr-Nm400-Weight
5,10,5,10,6,2,48,0.0,71.21928094887362,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesInput-Byte-Corr-Nm400-Weight
